Product_Name,Price,Rating,Review Count,URL,ASIN
,,,,,
"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls ","1,550",4.1 out of 5 stars,38,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09140571WW1AROGYOWWI&url=%2Fuppercase-Backpack-2500EBP1-repellent-sustainable%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1665173351%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-1-spons%26psc%3D1&qualifier=1665173351&id=4906886935696415&widgetName=sp_atf,['B0B81YTTWS']
,,,,,
uppercase 19 Ltrs Medium (14.6 inch) Laptop Backpack 1800EBP1 Printed Compact 3x more water repellent sustainable bags with rain proof zippers (Blue) ,"1,100",3.8 out of 5 stars,8,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A037679617OICR1YKDLOE&url=%2Fuppercase-Backpack-1800EBP1-repellent-sustainable%2Fdp%2FB0B9T7PD7T%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1665173351%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-2-spons%26psc%3D1&qualifier=1665173351&id=4906886935696415&widgetName=sp_atf,['B0B9T7PD7T']
,,,,,
GREY BACKPACK/BAG FRONT POCKET ,599, , ,https://www.amazon.in//GREY-BACKPACK-BAG-FRONT-POCKET/dp/B0BHH75NT3/ref=sr_1_omk_4?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-4,['B0BHH75NT3']
,,,,,
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy) ,619,3.9 out of 5 stars,"13,035",https://www.amazon.in//Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_5?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&smid=A1UVZJ9N7FK5G6&sr=8-5,['B085MHDJ93']
,,,,,
"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag ,office bag college bags ",709,3.8 out of 5 stars,994,https://www.amazon.in//TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_6?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-6,['B09QJ7ZF2Y']
,,,,,
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel ,699,4.3 out of 5 stars,"4,132",https://www.amazon.in//FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_7?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-7,['B07M9BRCQ5']
,,,,,
Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black) ,568,4.1 out of 5 stars,"5,471",https://www.amazon.in//Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_8?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&smid=A2Q8O9HJRACOUS&sr=8-8,['B088B4P6ZW']
,,,,,
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment ",699,4.2 out of 5 stars,"6,391",https://www.amazon.in//Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_9?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-9,['B07YDGQQN5']
,,,,,
DEIN KLEIDER Men's Nylon Messenger Bag ,276,4.0 out of 5 stars,"3,591",https://www.amazon.in//Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_10?keywords=bags&qid=1665173351&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-10,['B084ZHP97M']
,,,,,
"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014 ","5,600",3.6 out of 5 stars,11,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A104708310DL4BKR55BQ6&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1665173351%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-11-spons%26psc%3D1&qualifier=1665173351&id=4906886935696415&widgetName=sp_mtf,['B09V1GJ7D6']
,,,,,
"Wenger BC Fun Monosling Bag with 10 Inch Tablet Pocket, Stylish for Everyday Gear in Black (7 litres)-Blend of Style & Function, Swiss Designed, 610180 ","1,869",4.2 out of 5 stars,28,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03105213V4KCPAUDBMT5&url=%2FWenger-Polyester-Black-Messenger-610180%2Fdp%2FB084DNY2RB%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1665173351%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-12-spons%26psc%3D1&qualifier=1665173351&id=4906886935696415&widgetName=sp_mtf,['B084DNY2RB']
,,,,,
